Date,Region,Product,Sales,Profit
2024-06-18,East,Monitor,1707,487
2024-02-10,North,Printer,1469,173
2024-04-11,North,Headphones,1425,377
2024-05-23,North,Tablet,1416,417
2024-05-01,South,Headphones,986,124
2024-05-19,West,Monitor,448,74
2024-06-08,North,Headphones,1991,594
2024-04-18,South,Printer,807,131
2024-01-26,West,Monitor,1672,414
2024-04-02,West,Laptop,469,125
2024-02-23,North,Tablet,331,81
2024-04-05,West,Laptop,1585,459
2024-05-23,South,Phone,1386,319
2024-01-19,South,Headphones,976,277
2024-02-16,North,Headphones,594,155
2024-06-05,West,Laptop,894,165
2024-03-01,North,Phone,538,139
2024-05-26,West,Printer,1082,123
2024-03-19,North,Monitor,1867,369
2024-01-18,West,Headphones,1852,301
2024-05-31,West,Monitor,1168,220
2024-01-08,North,Tablet,1572,385
2024-06-01,South,Printer,432,65
2024-01-25,East,Phone,1833,500
2024-05-04,North,Monitor,1334,237
2024-04-16,South,Tablet,1118,178
2024-02-21,North,Headphones,543,83
2024-01-22,North,Monitor,898,211
2024-03-04,South,Printer,1516,396
2024-03-20,South,Laptop,904,135
2024-06-26,South,Laptop,927,255
2024-04-16,West,Headphones,1130,203
2024-03-13,East,Laptop,1486,342
2024-04-29,North,Monitor,294,33
2024-01-12,South,Phone,1275,250
2024-06-13,East,Monitor,800,111
2024-05-16,East,Printer,502,148
2024-05-13,North,Tablet,1758,292
2024-04-06,South,Monitor,1589,448
2024-05-24,North,Laptop,1715,500
2024-06-17,East,Phone,662,141
2024-02-22,East,Printer,1849,399
2024-02-01,North,Printer,429,115
2024-01-25,East,Tablet,1128,290
2024-02-05,South,Printer,1379,254
2024-04-03,South,Laptop,1187,348
2024-01-19,South,Monitor,1298,165
2024-06-17,East,Laptop,357,41
2024-05-11,South,Monitor,1231,154
2024-06-21,West,Tablet,1037,127
2024-05-31,North,Tablet,1156,297
2024-01-23,South,Phone,1021,211
2024-05-24,East,Headphones,318,62
2024-01-12,North,Monitor,616,178
2024-06-04,West,Phone,1290,205
2024-02-04,East,Monitor,877,163
2024-01-28,East,Headphones,1354,346
2024-05-24,East,Headphones,684,140
2024-04-07,East,Headphones,1633,281
2024-02-14,West,Phone,1873,411
